use,split,id,label,code,review,oof_wrong,oof_n,prob_S_mean,prob_S_std
1,other,001_L_05,P,PP,확신오답,3,3,0.998,0.003
1,other,002_R_02,P,PCB,확신오답,3,3,0.837,0.216
1,other,002_R_05,S,SS,확신오답,3,3,0.077,0.068
1,other,003_L_03,P,PC,확신오답,3,3,0.967,0.018
1,other,003_L_04,S,SC,확신오답,3,3,0.007,0.004
1,other,007_R_03,S,SC,확신오답,3,3,0.014,0.009
1,other,012_L_03,S,SC,확신오답,3,3,0.001,0.001
1,other,012_R_03,S,SC,확신오답,3,3,0.001,0.001
1,other,013_R_05,P,PP,확신오답,3,3,0.850,0.085
1,other,015_L_03,S,SS,확신오답,3,3,0.013,0.007
1,other,015_R_02,P,PB,확신오답,3,3,0.809,0.053
1,other,016_L_04,S,SC,확신오답,3,3,0.052,0.073
1,other,019_L_02,S,SS,확신오답,3,3,0.006,0.001
1,other,019_L_04,P,PP,확신오답,3,3,0.891,0.046
1,other,019_R_04,P,PP,확신오답,3,3,0.817,0.126
1,other,022_L_02,S,SB,확신오답,3,3,0.018,0.012
1,other,022_L_05,S,SB,확신오답,3,3,0.024,0.033
1,other,022_R_04,S,SB,확신오답,3,3,0.012,0.014
1,other,023_L_04,S,SS,확신오답,3,3,0.146,0.148
1,other,023_L_05,P,PP,확신오답,3,3,0.817,0.133
1,other,024_L_02,P,PP,확신오답,3,3,1.000,0.000
1,other,025_R_03,S,SS,확신오답,3,3,0.115,0.152
1,other,026_L_04,S,SS,확신오답,3,3,0.179,0.162
1,other,026_R_03,S,SS,확신오답,3,3,0.087,0.108
1,other,027_R_03,S,SC,확신오답,3,3,0.018,0.023
1,other,030_L_02,P,PP,확신오답,3,3,0.934,0.031
1,other,030_L_03,S,SC,확신오답,3,3,0.147,0.116
1,other,030_R_02,P,PP,확신오답,3,3,0.891,0.147
1,other,030_R_04,P,PC,확신오답,3,3,0.997,0.002
1,other,032_R_02,S,SB,확신오답,3,3,0.000,0.000
1,other,034_R_03,P,PP,확신오답,3,3,0.836,0.156
1,other,035_L_05,P,PC,확신오답,3,3,0.992,0.003
1,other,037_R_04,S,SB,확신오답,3,3,0.173,0.156
1,thumb,003_L_01,S,SC,확신오답,3,3,0.086,0.059
1,thumb,004_L_01,S,SS,확신오답,3,3,0.083,0.053
1,thumb,005_L_01,S,SS,확신오답,3,3,0.042,0.053
1,thumb,005_R_01,P,PC,확신오답,3,3,0.943,0.072
1,thumb,007_L_01,P,PP,확신오답,3,3,0.919,0.043
1,thumb,015_L_01,P,PB,확신오답,3,3,0.992,0.007
1,thumb,017_R_01,P,PP,확신오답,3,3,0.930,0.056
1,thumb,024_L_01,P,PC,확신오답,3,3,0.964,0.018
1,other,002_L_03,S,SS,흔들림,2,3,0.351,0.402
1,other,003_R_04,P,PC,흔들림,2,3,0.556,0.365
1,other,010_L_03,S,SC,흔들림,1,3,0.490,0.350
1,other,012_R_05,P,PC,흔들림,1,3,0.294,0.362
1,other,013_R_02,S,SS,흔들림,2,3,0.359,0.451
1,other,014_L_05,S,SCB,흔들림,2,3,0.240,0.314
1,other,017_L_02,S,SB,흔들림,1,3,0.664,0.356
1,other,017_R_03,S,SC,흔들림,2,3,0.352,0.453
1,other,017_R_04,P,PC,흔들림,1,3,0.350,0.453
1,other,020_L_03,P,PP,흔들림,1,3,0.301,0.351
1,other,022_L_04,P,PB,흔들림,1,3,0.362,0.386
1,other,025_L_02,P,PCB,흔들림,1,3,0.356,0.371
1,other,030_L_04,S,SC,흔들림,1,3,0.507,0.329
1,other,031_R_04,S,SS,흔들림,1,3,0.726,0.367
1,other,034_L_03,P,PP,흔들림,1,3,0.296,0.369
1,other,034_L_04,P,PB,흔들림,1,3,0.234,0.317
1,other,037_L_03,S,SS,흔들림,1,3,0.526,0.363
1,other,037_L_04,S,SC,흔들림,1,3,0.442,0.310
1,other,041_R_04,P,PC,흔들림,1,3,0.378,0.365
1,other,042_R_02,S,SS,흔들림,2,3,0.388,0.301
1,other,042_R_04,S,SS,흔들림,1,3,0.737,0.316
1,thumb,013_L_01,S,SB,흔들림,1,3,0.602,0.379
1,thumb,019_R_01,S,SC,흔들림,1,3,0.556,0.370
1,thumb,025_R_01,S,SC,흔들림,1,3,0.740,0.325
1,thumb,027_L_01,P,PC,흔들림,1,3,0.536,0.323
1,thumb,030_R_01,P,PP,흔들림,1,3,0.357,0.380
1,other,002_R_03,S,SS,불일치,1,3,0.820,0.254
1,other,002_R_04,S,SS,불일치,1,3,0.816,0.249
1,other,003_L_05,S,SS,불일치,2,3,0.284,0.294
1,other,004_L_05,S,SC,불일치,2,3,0.298,0.178
1,other,004_R_03,S,SC,불일치,1,3,0.730,0.196
1,other,007_R_02,P,PB,불일치,2,3,0.654,0.279
1,other,008_L_04,P,PP,불일치,1,3,0.300,0.261
1,other,011_R_02,P,PB,불일치,1,3,0.188,0.238
1,other,012_R_02,P,PP,불일치,1,3,0.507,0.089
1,other,013_L_04,S,SS,불일치,1,3,0.755,0.203
1,other,013_L_05,P,PP,불일치,1,3,0.389,0.174
1,other,015_L_05,P,PB,불일치,1,3,0.320,0.170
1,other,015_R_03,S,SS,불일치,2,3,0.279,0.252
1,other,016_L_02,S,SS,불일치,2,3,0.432,0.243
1,other,016_R_05,P,PC,불일치,1,3,0.405,0.289
1,other,017_R_02,S,SB,불일치,2,3,0.323,0.258
1,other,018_R_04,S,SC,불일치,1,3,0.736,0.255
1,other,019_L_03,P,PP,불일치,1,3,0.307,0.239
1,other,022_L_03,P,PB,불일치,1,3,0.432,0.097
1,other,022_R_02,S,SB,불일치,2,3,0.253,0.200
1,other,022_R_05,P,PB,불일치,1,3,0.434,0.159
1,other,023_R_03,S,SS,불일치,2,3,0.308,0.248
1,other,023_R_04,P,PC,불일치,2,3,0.499,0.269
1,other,024_L_03,S,SC,불일치,1,3,0.646,0.168
1,other,024_L_04,S,SC,불일치,2,3,0.517,0.218
1,other,026_R_02,P,PB,불일치,1,3,0.341,0.131
1,other,026_R_04,S,SS,불일치,1,3,0.661,0.125
1,other,030_R_05,S,SC,불일치,2,3,0.222,0.247
1,other,032_L_05,P,PB,불일치,1,3,0.353,0.226
1,other,034_R_02,P,PP,불일치,1,3,0.420,0.268
1,other,034_R_05,P,PP,불일치,2,3,0.455,0.115
1,other,035_L_02,P,PP,불일치,2,3,0.585,0.286
1,other,035_L_03,S,SC,불일치,1,3,0.571,0.208
1,other,036_R_05,S,SC,불일치,1,3,0.715,0.210
1,other,037_L_05,P,PP,불일치,1,3,0.411,0.266
1,other,037_R_03,S,SS,불일치,1,3,0.622,0.171
1,other,041_L_02,P,PB,불일치,1,3,0.242,0.207
1,thumb,001_R_01,S,SB,불일치,2,3,0.319,0.248
